id,호선,역번호,출발역,latitude,longitude,출근시간_혼잡도합,퇴근시간_혼잡도합
272,8호선,2817,송파,37.499739,127.112201,307.84999999999997,369.7
273,8호선,2818,가락시장,37.4923175,127.118104,272.15000000000003,356.59999999999997
274,8호선,2819,문정,37.4855846,127.1225635,220.14999999999998,336.45
275,8호선,2820,장지,37.477699,127.126274,209.39999999999998,251.95
276,8호선,2821,복정,37.4600037,127.1332905,163.39999999999998,194.5
277,8호선,2822,산성,37.457001,127.150027,105.85000000000001,109.8
278,8호선,2823,남한산성입구,37.451548,127.159837,84.35000000000001,87.95
279,8호선,2824,단대오거리,37.44505,127.156709,63.699999999999996,57.150000000000006
280,8호선,2825,신흥,37.440956,127.147509,43.900000000000006,43.05
281,8호선,2826,수진,37.4376051,127.1409692,37.6,37.3
282,8호선,2827,모란,37.432124,127.129064,13.799999999999999,24.75
283,8호선,2828,남위례,37.462856,127.139064,119.0,135.35
