CATEGORY,NO,AREA_CD,AREA_NM,ENG_NM,GU_NM
인구밀집지역,44,POI046,용산역,Yongsan station,용산구
인구밀집지역,45,POI047,이태원역,Itaewon station,용산구
인구밀집지역,46,POI048,장지역,Jangji station,송파구
인구밀집지역,47,POI049,장한평역,Janghanpyeong station,동대문구
인구밀집지역,48,POI050,천호역,Cheonho station,강동구
인구밀집지역,49,POI051,총신대입구(이수)역,Chongshin University(Isu) station,동작구
인구밀집지역,50,POI052,충정로역,Chungjeongno station,서대문구
인구밀집지역,51,POI053,합정역,Hapjeong station,마포구
인구밀집지역,52,POI054,혜화역,Hyehwa station,종로구
인구밀집지역,53,POI055,홍대입구역(2호선),Hongik University station(Line 2),마포구
인구밀집지역,54,POI056,회기역,Hoegi station,동대문구
발달상권,55,POI058,가락시장,Garak Market,송파구
발달상권,56,POI059,가로수길,Garosu-gil,강남구
발달상권,57,POI060,광장(전통)시장,Gwangjang(Traditional) Market,종로구
발달상권,58,POI061,김포공항,Gimpo Airport,강서구
발달상권,59,POI063,노량진,Noryangjin,동작구
발달상권,60,POI064,덕수궁길·정동길,Deoksugung-gil·Jeongdong-gil,중구
발달상권,61,POI066,북촌한옥마을,Bukchon Hanok Village,종로구
발달상권,62,POI067,서촌,Seochon,종로구
발달상권,63,POI068,성수카페거리,Seongsu Cafe Street,성동구
인구밀집지역,64,POI070,쌍문역,Ssangmun-dong station,도봉구
발달상권,65,POI071,압구정로데오거리,Apgujeong Rodeo Street,강남구
발달상권,66,POI072,여의도,Yeouido,영등포구
발달상권,67,POI073,연남동,Yeonnam-dong,마포구
발달상권,68,POI074,영등포 타임스퀘어,Yeongdeungpo Time square,영등포구
발달상권,69,POI076,용리단길,Yongnidan-gil,용산구
발달상권,70,POI077,이태원 앤틱가구거리,Itaewon Antiques street,용산구
발달상권,71,POI078,인사동,Insa-dong,종로구
발달상권,72,POI079,창동 신경제 중심지,Changdong New Economic Center,도봉구
발달상권,73,POI080,청담동 명품거리,Cheongdam-dong Luxury Fashion street,강남구
발달상권,74,POI081,청량리 제기동 일대 전통시장,Traditional market in Cheongnyangni Jegi-dong ,동대문구
발달상권,75,POI082,해방촌·경리단길,Haebangchon·Gyeongnidan-gil,용산구
발달상권,76,POI083,DDP(동대문디자인플라자),DDP(Dongdaemun Design Plaza),중구
발달상권,77,POI084,DMC(디지털미디어시티),DMC(Digital Media City),마포구
공원,78,POI085,강서한강공원,Gangseo Hangang Park,강서구
공원,79,POI086,고척돔,Gocheok Dome,구로구
공원,80,POI087,광나루한강공원,Gwangnaru Hangang Park,강동구
공원,81,POI088,광화문광장,Gwanghwamun Square,종로구
공원,82,POI089,국립중앙박물관·용산가족공원,The National Museum of Korea·Yongsan Family Park,용산구
공원,83,POI090,난지한강공원,Nanji Hangang Park,마포구
공원,84,POI091,남산공원,Namsan Park,중구
공원,85,POI092,노들섬,Nodeul island,용산구
공원,86,POI093,뚝섬한강공원,Ttukseom Hangang Park,광진구
공원,87,POI094,망원한강공원,Mangwon Hangang Park,마포구
공원,88,POI095,반포한강공원,Banpo Hangang Park,서초구
공원,89,POI096,북서울꿈의숲,Dream Forest,강북구
공원,90,POI098,서리풀공원·몽마르뜨공원,Seoripul Park·Montmartre Park,서초구
공원,91,POI100,서울대공원,Seoul Grand Park,과천시
공원,92,POI101,서울숲공원,Seoul Forest,성동구
공원,93,POI102,아차산,Achasan,광진구
